UUID,Brand name,Title,Product image,Condition,Price,Item #:,Estimated Retail Price:,Dimensions:,Includes:,Circa:,Made In:,Size:,Handle Drop:,Strap Length:,Exterior Color:,QA Tag:,Exterior Material:,2nd Strap Length:
736a7c5f-a63f-4710-82c5-22ef3c5ad573,Chanel,Black Quilted Caviar Multi Chain Messenger Flap Bag,https://mygemma.com/cdn/shop/files/142800-fv_ab0a9fa5-62b3-495d-b6e1-b62def67eea4_200x200.jpg?v=1727944237,Very Good,"$4,750",142800,,8.7 x 5.7 x 2.25,Box;Gift Ribbon;Care Booklet;Felt Protector,2021-2023,Italy,,,20.5,,,,
893940d2-433f-4791-b36d-e0408863b14c,Bottega Veneta,White Intrecciato Nappa Small Andiamo,https://mygemma.com/cdn/shop/files/140379-fv_200x200.jpg?v=1727845570,Excellent,"$3,800",140379,"4,500",9.5 x 8.0 x 4.5,Dustbag;Care Booklet,,Italy,Small,2.5,10-18,,,,
e15bb3e8-1b91-4710-9577-6eb5f8a6eb6f,Hermès,Gris Soleil Wool Cashmere Avalon Throw Blanket,https://mygemma.com/cdn/shop/files/141755-fv_bb76e519-c23d-4e6f-a770-04d28a2cd6eb_200x200.jpg?v=1727941231,Pristine,"$1,850",141755,,,None,,UK,,,,,,"90%Laine Merinos
10% Cachemire",
8837b75f-a1fe-445c-9439-e5b145f75703,Hermès,Bleu Indigo Negonda Garden Party 36,https://mygemma.com/cdn/shop/files/142721-fv_82ddc126-f7d7-4cf7-960a-6a88d8de9229_200x200.jpg?v=1727941206,Excellent,"$3,300",142721,,14.25 x 10.0 x 7.25,Box;Dustbag;Receipt;Gift Ribbon;Care Booklet,2022,France,,,5.5,,,,
7131df4d-acc0-47b7-80d2-492e53cb6fb7,Unknown Brand,Black Goyardine Canvas Senat GM,https://mygemma.com/cdn/shop/files/142539-fv_3e90698a-4679-481d-ab65-1889ef3e7f63_200x200.jpg?v=1727799156,Excellent,$950,142539,,16.0 x 11.5 x 0.5,Box;Care Booklet;Felt Protector,,France,GM,,,,,,
009dea0a-5d90-4c82-9261-449b4d0ed1eb,Louis Vuitton,Metallic Grey Vernis Monogram Canvas Wynwood,https://mygemma.com/cdn/shop/files/142529-fv_203704dc-c15e-4cad-8b42-d28d4fe847eb_200x200.jpg?v=1727941188,Pristine,"$1,850",142529,,8.0 x 6.0 x 3.25,Box;Dustbag,2020,Italy,,,20,,,,
a6a67645-e78c-408c-ac66-474c46dcab44,Unknown Brand,Black Quilted Cannage Lambskin Small Lady D-Joy,https://mygemma.com/cdn/shop/files/142526-fv_bf4eb4b3-cd2a-462b-a945-bc6dbb2d4626_200x200.jpg?v=1727799139,Very Good,"$3,450",142526,"4,900",8.7 x 4.8 x 1.5,Box;Dustbag;Care Booklet,2023,Italy,,3.1,9.9,,,,20.2-22.5
3eb76969-443e-4bff-b3cf-40712adfbaa7,Chanel,Black Quilted Caviar Small Classic Double Flap Bag,https://mygemma.com/cdn/shop/files/142449-fv_f1fd2d93-a9a3-43fa-8e43-f18838a525de_200x200.jpg?v=1727845559,Excellent,"$7,500",142449,"10,400",9.0 x 5.7 x 2.5,Dustbag;Care Booklet;Felt Protector,2021-2023,France,,,9-16,,,,
663e1999-ee02-4dbb-81cd-55c0474c00a0,Louis Vuitton,Turtledove Monogram Empreinte Zippy Wallet,https://mygemma.com/cdn/shop/files/142307-fv_d10d4cba-b089-41ae-9f8e-9b517067166e_200x200.jpg?v=1727941171,Excellent,$550,142307,"1,140",7.5 x 4.0 x 1.0,Dustbag,2021-2023,Spain,,,,,,,
4fcc67d3-0a84-4a07-a1c2-16ca8bc2b35e,Saint Laurent,Black Grain De Poudre Small Kate Bag,https://mygemma.com/cdn/shop/files/141995-fv_80bd4313-ded3-4844-928e-b1c013555131_200x200.jpg?v=1727941154,Very Good,"$1,650",141995,,8.0 x 5.5 x 2.0,Dustbag;Care Booklet,2020,Italy,Small,11.5,20,,,Grain de Poudre,
a08f0efb-b5fd-40ac-b908-af1cb2c811ae,Saint Laurent,Taupe Grain De Poudre Triquilt Small Monogram Satchel,https://mygemma.com/cdn/shop/files/141974-fv_200x200.jpg?v=1727941915,Pristine,"$1,750",141974,,8.5 x 5.25 x 2.25,Dustbag,2023,Italy,Small,11,21.5,Taupe,,Grain de Poudre,
9408b5f2-a2e0-4d1b-9782-99ad26e7b133,Celine,Tan Calfskin Triomphe Canvas Small Bucket Bag,https://mygemma.com/cdn/shop/files/141966-fv_954899eb-8ede-4d4c-b9d1-b7ff2d4d0664_200x200.jpg?v=1727799065,Very Good,"$1,100",141966,"1,700",7.25 x 8.5 x 5.0,Dustbag;Retail Tag,2022,Italy,Small,,18-21.5,,,Triomphe Canvas & Calfksin,
c58397b5-f1cf-4af4-a38f-8611a59ad0f3,Gucci,Red Microguccissima Small Bowling Bag,https://mygemma.com/cdn/shop/files/141964-fv_200x200.jpg?v=1727941134,Good,$550,141964,,8.75 x 6.0 x 4.25,Additional Strap;Dustbag;Removable Straps,,Italy,Small,4,20-23,,,,
e75059e7-d4e0-429b-a2bb-6f08bdc23f7b,Louis Vuitton,Marine Rouge Monogram Empreinte Vavin PM,https://mygemma.com/cdn/shop/files/141960-fv_200x200.jpg?v=1727941115,Very Good,"$2,200",141960,,9.75 x 6.5 x 4.0,Box;Dustbag,2020,France,PM,,12-22,Marine,,Emrpiente Leather,
d2eea656-2a96-4196-9fb6-6e2e139017c3,Louis Vuitton,Black Epi Noe GM,https://mygemma.com/cdn/shop/files/141732-fv_041b25c1-1901-430e-a7be-4fd95f233f8c_200x200.jpg?v=1727944212,Good,$500,141732,,10.5 x 13.0 x 7.5,Dustbag,1999,France,,12.75,,,,Epi,
35db196c-e8e7-45f4-b27a-aea6c8f6bdd2,Chanel,Blue Crochet Mini Coco Top Handle Flap Bag,https://mygemma.com/cdn/shop/files/142935-id_e2efbaf5-6adb-448f-940e-2e370f2f6220_200x200.jpg?v=1727942002,Excellent,"$3,100",142935,,8.5 x 5.0 x 3.0,Dustbag;Authenticity Card;Removable Straps,2018,Italy,,3.3,18,,,,
65f65928-fcc8-4b2e-9ad5-9224395857d7,Gucci,Navy GG Supreme Canvas Mini Dionysus Chain Wallet,https://mygemma.com/cdn/shop/files/142934-id_aab78fc4-ae54-41cc-ba34-b14493463c64_200x200.jpg?v=1727941996,Excellent,"$1,200",142934,"1,650",7.8 x 5.5 x 1.3,Dustbag;Removable Straps,,Italy,Mini,,23,,,,
3a5844b1-6c16-4f8e-820d-12ba63fdc14f,Louis Vuitton,Damier Azur Canvas Felicie Pochette,https://mygemma.com/cdn/shop/files/142928-id_5bbb0f59-0b86-4c23-ae2c-18a611929bab_200x200.jpg?v=1727941989,Very Good,$830,142928,"1,490",8.25 x 5.0 x 1.0,Dustbag;Removable Straps,2016,France,,,22.00,,,,
468d51f6-bf56-4589-a1bc-3ac1f3f342e8,Saint Laurent,Avorio Calfskin Matelasse Lou Camera Bag,https://mygemma.com/cdn/shop/files/142917-id_6c7b13da-4492-4f3f-b589-55d726b52dd3_200x200.jpg?v=1727941982,Excellent,"$1,200",142917,"1,690",9.0 x 6.25 x 2.3,Dustbag;Tassels;Care Booklet,2022,Italy,,,24.5,,,,
b88a5dcd-b400-468c-93e2-d3771baed73b,Chanel,Black Shiny Quilted Lambskin Chanel 19 Flap Wallet,https://mygemma.com/cdn/shop/files/142899-id_bce19105-b686-4712-a463-5de539c601f5_200x200.jpg?v=1727941975,Excellent,$680,142899,,6.25 x 3.5 x 0.5,Dustbag;Authenticity Card,2019,Italy,,,,,,,
ead346dc-f2ab-4403-8fad-5b472d107918,Chanel,Black Quilted Shiny Lambskin Medium Chanel 19 Flap Bag,https://mygemma.com/cdn/shop/files/142898-id_200x200.jpg?v=1727843256,Very Good,"$4,150",142898,"6,600",11.5 x 9.0 x 3.5,None,2021-2023,France,Medium,3.5,18,,,,
d25527d4-302b-43bd-85e3-a431e7cf4dd7,Chanel,Pink Orange Quilted Tweed Medium Chanel 19 Flap Bag,https://mygemma.com/cdn/shop/files/142897-id_200x200.jpg?v=1727843249,Excellent,"$5,200",142897,,12.0 x 7.5 x 3.5,Dustbag;Care Booklet;Authenticity Card;Retail Tag,2020,Italy,Medium,4.00,17,,,,
81a9a394-938e-4f79-abf7-6011b83edc68,Unknown Brand,Brown Black F Is Fendi Calfskin Wallet On Chain,https://mygemma.com/cdn/shop/files/142894-id_74e0c281-f2e9-474c-be49-2bca836a2b40_200x200.jpg?v=1727941968,Excellent,"$1,100",142894,"1,590",8.25 x 5.0 x 1.0,Box;Dustbag;Receipt;Care Booklet;Removable Straps,,Italy,,,23,,,,
4c1ad490-6763-4d75-b02a-97af91eaf3d8,Chanel,Black Quilted Lambskin Medium Trendy Top Handle Flap Bag,https://mygemma.com/cdn/shop/files/142892-id_df7f37e6-241f-41b2-a25f-ee2cb53522eb_200x200.jpg?v=1727941962,Excellent,"$5,200",142892,,10.0 x 7.0 x 3.0,Dustbag;Felt Protector,2021-2023,Italy,,4.00,19,,,,
287e5457-c871-4149-929f-b05459ad0f55,Saint Laurent,Black Grain De Poudre Mixed Matelasse Triquilt Medium Envelope Bag,https://mygemma.com/cdn/shop/files/142891-id_bdabbc65-9976-4c0c-92b1-fc7a4b5468d5_200x200.jpg?v=1727941955,Very Good,"$1,850",142891,,9.4 x 6.6 x 2.3,None,2020,Italy,,,10.2-21.6,,,One slip pocket,
603c22f2-7ed4-486d-aef8-72a13e8e03c8,Gucci,Blue Dollar Calfskin Interlocking G Chain Wallet,https://mygemma.com/cdn/shop/files/142889-id_83a52a3a-2c82-4db7-b4cd-712a94930dfa_200x200.jpg?v=1727941948,Very Good,$680,142889,,8.0 x 5.0 x 1.5,Box;Dustbag;Receipt;Care Booklet;Removable Straps,,Italy,,,24,,,,
2724ea38-a463-46ce-bd31-5b9694671cfc,Burberry,Archive Beige Econyl Icon Stripe Phoebe Pouch,https://mygemma.com/cdn/shop/files/142888-id_200x200.jpg?v=1727843215,Very Good,$390,142888,,7.0 x 8.5 x 4.5,Box;Dustbag;Receipt;Retail Tag,,Moldova,,9.00,,,,,
7a720909-2620-4656-908c-2baa6c43b168,Louis Vuitton,Silver Econyl Monogram Pillow Giant Onthego GM,https://mygemma.com/cdn/shop/files/142887-id_200x200.jpg?v=1727843209,Pristine,"$3,450",142887,,16.5 x 13.0 x 7.25,Box;Dustbag;Gift Ribbon,2021-2023,Italy,GM,5.00,12.5,,,,
2e77abd4-262a-4bb0-8d01-b9c864bd3db6,Chanel,Black Quilted Caviar Grand Shopping Tote,https://mygemma.com/cdn/shop/files/142884-id_b2a37299-7d11-41f5-acdd-922c82a69229_200x200.jpg?v=1727941941,Very Good,"$2,350",142884,,13.5 x 9.5 x 5.0,None,2013-2014,Italy,,,9.5,,,,
8bc2d851-db7b-4681-8761-c5a7bb306530,Louis Vuitton,Tahitienne Monogram Canvas Saint Tropez Neverfull MM,https://mygemma.com/cdn/shop/files/142856-id_200x200.jpg?v=1727843196,Very Good,"$2,150",142856,,12.7 x 11.5 x 6.3,Dustbag;Care Booklet,2017,France,MM,,8.5,,,,
1fceebd1-542b-4cea-82e5-4e9ddb81e3b7,Louis Vuitton,White Multicolor Monogram Canvas Priscilla,https://mygemma.com/cdn/shop/files/142852-fv_200x200.jpg?v=1727941603,Good,"$1,100",142852,,9.8 x 8.5 x 7.0,None,2006,France,,5.00,,,,,
7d47b7a5-e9f3-44b0-a676-965cbc3ce65e,Chanel,Khaki Quilted Patent Maxi Double Flap Bag,https://mygemma.com/cdn/shop/files/142851-fv_200x200.jpg?v=1727941585,Good,"$3,850",142851,,13.0 x 9.0 x 4.0,None,2011,Italy,Maxi,,11-20,,,,
d1ff2243-71bd-4fe8-bdb6-9bec12cfaa10,Chanel,Black Quilted Lambskin Medium Classic Double Flap Bag,https://mygemma.com/cdn/shop/files/142831-fv_200x200.jpg?v=1727944461,Fair,"$4,050",142831,"10,800",10.2 x 6.0 x 2.5,None,2019,France,Medium,,9-17,,,,
b3387b9b-3730-4ae3-adf4-fb265bb2d01b,Louis Vuitton,Water Green Empreinte Monogram Summer Stardust Speedy 20,https://mygemma.com/cdn/shop/files/142847-fv_200x200.jpg?v=1727941431,Excellent,"$2,350",142847,,8.0 x 6.5 x 4.5,Dustbag;Lock;Key;Removable Straps,2021-2023,Italy,20,2.7,21,,,,
104e7f1d-311f-44c0-be77-cb50ab923c7e,Louis Vuitton,Black Monogram Empreinte Sarah Wallet,https://mygemma.com/cdn/shop/files/142842-fv_200x200.jpg?v=1727944367,Excellent,$410,142842,,7.5 x 4.0 x 1.0,Box;Dustbag;Gift Ribbon,2021-2023,Spain,,,,,,,
33f616c9-a994-4fe8-97d9-7cd85e12090d,Chanel,24A Black Quilted Patent Chain Around Heart Flap Bag,https://mygemma.com/cdn/shop/files/142839-fv_200x200.jpg?v=1727944348,Excellent,"$5,200",142839,,7.5 x 5.0 x 1.5,Dustbag,2021-2023,Italy,,,24,,,,
a75826c3-d567-44f4-bdad-7c2defe9200b,Louis Vuitton,Petale Taurillon Capucines BB,https://mygemma.com/cdn/shop/files/142834-fv_83bdd746-3524-49e9-bd67-5c35cb5a5a86_200x200.jpg?v=1727869968,Excellent,"$3,600",142834,,10.5 x 6.8 x 3.5,Removable Straps,2021-2023,France,,3.5,22.5,,,,
9b1ec91f-814d-4cdf-91ca-d6a96dc9c361,Chanel,Black Quilted Lambskin Medium Classic Double Flap Bag,https://mygemma.com/cdn/shop/files/142832-fv_4ff36fe9-f084-48ca-9dcd-59aa9a921a89_200x200.jpg?v=1727944329,Excellent,"$7,600",142832,"10,800",10.2 x 6.0 x 2.5,Dustbag;Authenticity Card,2016-2017,France,,,9-17,,,,
18017b4e-962d-4c50-911c-1621a02e04c6,Chanel,Grey Quilted Caviar Medium Classic Double Flap Bag,https://mygemma.com/cdn/shop/files/142827-fv_200x200.jpg?v=1727944259,Excellent,"$6,800",142827,,9.9 x 6.0 x 2.5,Box;Dustbag;Gift Ribbon;Authenticity Card;Felt Protector;Retail Tag,2018-2019,France,Medium,,9-16,,,,
509f584d-89ab-4a77-a876-644995949f97,Unknown Brand,Red Grained Calfskin Medium Saddle Bag,https://mygemma.com/cdn/shop/files/142824-fv_200x200.jpg?v=1727763840,Very Good,"$3,450",142824,,13.0 x 9.0 x 2.1,Care Booklet;Authenticity Card,2019,Italy,Medium,,6.5,,,,
a1c12790-18b6-4fde-9dc9-d54d7a53a118,Unknown Brand,Red Patent Cannage Mini Lady Dior w/ Strap,https://mygemma.com/cdn/shop/files/142802-fv_200x200.jpg?v=1727763768,Very Good,"$3,200",142802,,6.5 x 6.0 x 3.0,Removable Straps,2016,Italy,Mini,2.8,21,,,,
f931588d-c2d3-4018-b1c9-bc94e45db24c,Prada,Pink Re-Nylon Re-Edition 2000 Mini Bag,https://mygemma.com/cdn/shop/files/142798-fv_19985430-d863-45f5-a8c6-de593c8218ee_200x200.jpg?v=1727758990,Excellent,$890,142798,"1,250",9.0 x 6.5 x 2.3,Clochette;Dustbag;Care Booklet;Authenticity Card,,Italy,Mini,,7.00,,,,
f8f4e74f-db2c-4a35-9f20-c2c91754ce72,Louis Vuitton,Damier Azur Canvas Speedy Bandouliere 30,https://mygemma.com/cdn/shop/files/141444-fv_44620d09-bd1c-46b5-92d3-b4d1f3c0f946_200x200.jpg?v=1727798971,Very Good,"$1,250",141444,"1,890",12.25 x 8.0 x 7.0,Lock;Key;Removable Straps,2016,France,35,3.00,26,,,,
dd34c9a2-08e5-48dd-a360-7c35625d11ef,Louis Vuitton,Black Mahina XL Hobo,https://mygemma.com/cdn/shop/files/141441-fv_bcf17794-d64f-4c77-a5bc-243cd281581e_200x200.jpg?v=1727941075,Very Good,"$1,100",141441,,15.5 x 15.0 x 7.25,Dustbag,2011,France,XL,9,,,,,
8f32e345-3c30-4b1d-b3e6-809466d846d8,Chanel,24K Black Quilted Lambskin Small Diana Flap Bag,https://mygemma.com/cdn/shop/files/140988-fv_7f096d73-29a2-4e52-b0e0-41da64794fc5_200x200.jpg?v=1727944192,Very Good,"$4,500",140988,,9.0 x 5.75 x 2.75,Dustbag,1994-1996,France,,,16,,,Lambskin,
e231f965-f02f-49e2-93b6-1d71fd769feb,Louis Vuitton,Red Black Epi Petite Malle,https://mygemma.com/cdn/shop/files/142784-fv_200x200.jpg?v=1727940871,Very Good,"$1,750",142784,"5,900",7.0 x 4.5 x 1.5,Removable Straps,,France,,,19-22,,,,
573adfc4-42ac-4584-9434-2765476a811b,Chanel,Red Quilted Goatskin Medium Chanel 19 Flap Bag,https://mygemma.com/cdn/shop/files/142783-fv_442d7002-99f9-41bf-9ba9-d99d827e00e9_200x200.jpg?v=1727842322,Very Good,"$4,950",142783,,10.75 x 6.25 x 3.5,Dustbag,2020,Italy,,3.75,20.5,Red,,Goatskin,
b09af2e9-5785-43b2-b5bf-9317d4857a73,Gucci,White Dollar Calfskin Medium Interlocking G Flap Bag,https://mygemma.com/cdn/shop/files/142781-fv_200x200.jpg?v=1727940853,Pristine,$850,142781,,11.0 x 7.5 x 2.5,Dustbag;Care Booklet,,Italy,,12,22,,,,
45424468-4adc-47fd-aaec-d76d34820ecf,Louis Vuitton,x Yayoi Kusama Red Dots Monogram Empreinte Sarah Wallet NM,https://mygemma.com/cdn/shop/files/142770-fv_200x200.jpg?v=1727940835,Very Good,"$1,050",142770,,7.5 x 4.0 x 0.7,None,,Spain,,,,,,,
0c58e2c7-5ff2-4726-8188-a63f4a7908e5,Chanel,Red Quilted Patent Plexi Glass Old  Medium Boy Bag,https://mygemma.com/cdn/shop/files/142777-fv_003280b0-4d9a-4a75-a675-9269a56133b2_200x200.jpg?v=1727798757,Excellent,"$2,750",142777,,10.0 x 5.5 x 2.7,Dustbag,2014-2015,Italy,,,20,,,,
4e077583-ea5b-45c1-838f-80d449e84395,Louis Vuitton,Damier Ebene Canvas Bloomsbury PM,https://mygemma.com/cdn/shop/files/142775-fv_200x200.jpg?v=1727940819,Very Good,"$1,050",142775,,13.0 x 11.0 x 1.0,None,2008,France,PM,,23,,,,
c9257e38-7ca5-42ec-89f1-69cfc3458d8b,Hermès,Rouge Grenat Swift Ghillies Kelly Longue Wallet GHW,https://mygemma.com/cdn/shop/files/142774-fv_200x200.jpg?v=1727798714,Excellent,"$2,050",142774,,7.7 x 4.5 x 0.5,None,2016,France,,,,,,,
b881b45f-ed30-4b9f-a7b3-dbe7f96e67fb,Chanel,Gray Quilted Lambskin Crush On Chains Flap Bag,https://mygemma.com/cdn/shop/files/142772-fv_200x200.jpg?v=1727940800,Excellent,"$4,950",142772,,10.0 x 5.7 x 1.7,Dustbag,2021-2023,France,,,21,,,,
8c54c421-df3e-40d7-8880-ce22d14e44f5,Louis Vuitton,Rose Ballerine Monogram Canvas Emilie Wallet,https://mygemma.com/cdn/shop/files/142756-fv_200x200.jpg?v=1727940783,Very Good,$395,142756,585,7.5 x 4.0 x 1.0,,2017,Spain,,,,LV Monogram,,,
17ae183b-6beb-4fa3-a070-e2d322595b26,Louis Vuitton,Damier Azur Canvas Nautical Neverfull MM,https://mygemma.com/cdn/shop/files/142752-fv_200x200.jpg?v=1727940768,Very Good,"$1,850",142752,,12.5 x 11.25 x 6.25,Dustbag;Pochette,2021-2023,France,MM,,8.00,,,,
e4dad53b-1362-47a5-8b6e-e4b5421b652c,Chanel,Vintage Black Quilted Lambskin Medium Diana Flap Bag,https://mygemma.com/cdn/shop/files/142748-fv_200x200.jpg?v=1727944176,Good,"$3,600",142748,,8.7 x 5.5 x 2.7,Dustbag;Felt Protector,1994-1996,France,,,20,,,,
e854124d-f505-4db2-9196-85a7e11b9d4b,Chanel,Burgundy White Floral Printed Silk CC Medium Single Flap Bag,https://mygemma.com/cdn/shop/files/142741-fv_1e1b4876-dbba-486f-8d9c-5accbe85cab7_200x200.jpg?v=1727940732,Excellent,"$3,850",142741,,9.7 x 5.8 x 2.6,Dustbag,2021-2023,France,,,10.5-20,,,,
4a8571b8-059b-43ee-b164-aa80c4d6a6a5,Chanel,Coral Ombre Quilted Caviar Small Sunset By The Sea Flap Bag,https://mygemma.com/cdn/shop/files/142739-fv_c71e6ae3-a37d-4a69-8cc7-8b34109744e1_200x200.jpg?v=1727940715,Excellent,"$3,950",142739,,8.8 x 5.5 x 1.5,Dustbag;Authenticity Card,2018-2019,Italy,,3.5,16-29,,,,
29072607-e8ca-40ed-9b64-ca3e540d8443,Dior,Navy Oblique Jacquard Saddle Tote,https://mygemma.com/cdn/shop/files/142732-fv_200x200.jpg?v=1727940696,Excellent,"$1,950",142732,,11.8 x 12.5 x 4.0,Dustbag;Care Booklet,2022,Italy,,4.00,20.00,,,,
85588b27-1953-4b9c-80bf-d7f8e2b37a22,Hermès,Bleu Du Nord Rouge De Coeur Clemence Verso Picotin Lock 22 MM PHW,https://mygemma.com/cdn/shop/files/142736-fv_5b88a328-9fed-4050-b47b-48ccfd71ca0e_200x200.jpg?v=1727798568,Very Good,"$2,650",142736,,8.5 x 8.5 x 7.0,Box;Dustbag;Lock;Key,2018,France,,6.2,,,,,
ec7496e2-2703-4639-9612-50d32b206753,Louis Vuitton,Black Monogram Canvas Montsouris Backpack NM,https://mygemma.com/cdn/shop/files/142725-fv_200x200.jpg?v=1727940676,Good,"$1,400",142725,,9.0 x 11.5 x 6.0,Dustbag;Charm,2020,Spain,,2.50,15,,,,
be9a240f-8acf-4258-854d-9af28776b51b,Unknown Brand,Red Grained Calfskin Medium Saddle Bag,https://mygemma.com/cdn/shop/files/142723-fv_200x200.jpg?v=1727798532,Excellent,"$3,050",142723,,13.0 x 9.0 x 2.1,None,2019,Italy,,,6.5,,,,
32a7c89e-08d7-4185-8f4c-4e4924afa981,Chanel,Pink Quilted Patent Medium Coco Shine Flap Bag,https://mygemma.com/cdn/shop/files/142722-fv_200x200.jpg?v=1727940657,Good,"$2,700",142722,,9.8 x 6.0 x 2.7,Dustbag,2014-2015,Italy,Medium,,21,,,,
6b24b004-165a-429f-b5c2-39370a217d58,Chanel,Grey Quilted Caviar Grand Shopping Tote,https://mygemma.com/cdn/shop/files/142719-fv_5c0b00dc-0fea-4f00-98e3-65be78783398_200x200.jpg?v=1727944151,Very Good,"$2,050",142719,,13.0 x 9.5 x 5.25,Dustbag,2009-2010,Italy,,,9.00,,,,
2f7a980f-1524-402c-a273-0782a2bbcc5d,Louis Vuitton,White Multicolor Monogram Canvas Pochette Accessoires,https://mygemma.com/cdn/shop/files/142708-fv_200x200.jpg?v=1727944135,Very Good,$680,142708,,8.5 x 5.0 x 1.6,None,2003,France,,,6,,,,
698161b6-848b-44ea-9026-2c54ed88c41c,Louis Vuitton,Monogram Canvas Pochette Cancun,https://mygemma.com/cdn/shop/files/142707-fv_b9c6ea34-e7e6-4ded-a0a0-472dd82b97ef_200x200.jpg?v=1727940606,Very Good,$410,142707,,3.7 x 4.7 x 1.0,None,2006,France,,,25,,,,
1c26f0c9-9968-4e80-aa9c-a5b34e8380cf,Chanel,Black Quilted Lambskin Medium Classic Double Flap Bag,https://mygemma.com/cdn/shop/files/142706-fv_c58c87e3-a8cc-4457-ba96-45273632d9ca_200x200.jpg?v=1727944119,Very Good,"$6,250",142706,"10,800",10.0 x 6.0 x 2.5,Dustbag,2019,France,Medium,,9-17,,,,
45245451-d26b-42bf-9d54-3bf1d09c0927,Chanel,Black Patent Chevron Glitter PVC Old Medium Boy Bag,https://mygemma.com/cdn/shop/files/142771-fv_7fe33b36-35b5-4fd0-8b97-6774a6764cb8_200x200.jpg?v=1727940465,Very Good,"$3,850",142771,,10.0 x 6.0 x 2.5,Dustbag,2017-2018,Italy,,,20.5,,,,
